,student_id,tutor_id,is_language_match,is_programming_match,does_hobby_overlap,is_teaching_style_match,student_level,student_prog,tutor_prog,target_label
0,S1,T1,1,1,1,1,beginner,Python,Python,10
1,S1,T2,0,0,0,1,beginner,Python,JavaScript,2
2,S1,T3,0,1,0,0,beginner,Python,Python,4
3,S1,T4,1,0,0,0,beginner,Python,Java,3
4,S1,T5,0,1,0,1,beginner,Python,Python,6
5,S1,T6,0,0,0,0,beginner,Python,C++,0
6,S1,T7,1,0,0,1,beginner,Python,JavaScript,5
7,S1,T8,0,1,0,0,beginner,Python,Python,4
8,S1,T9,0,0,0,1,beginner,Python,JavaScript,2
9,S1,T10,1,0,0,0,beginner,Python,Rust,3
10,S2,T1,0,0,0,1,beginner,JavaScript,Python,2
11,S2,T2,1,1,1,1,beginner,JavaScript,JavaScript,10
12,S2,T3,0,0,0,0,beginner,JavaScript,Python,0
13,S2,T4,0,0,0,0,beginner,JavaScript,Java,0
14,S2,T5,0,0,0,1,beginner,JavaScript,Python,2
15,S2,T6,1,0,0,0,beginner,JavaScript,C++,3
16,S2,T7,0,1,0,1,beginner,JavaScript,JavaScript,6
17,S2,T8,0,0,0,0,beginner,JavaScript,Python,0
18,S2,T9,0,1,0,1,beginner,JavaScript,JavaScript,6
19,S2,T10,0,0,0,0,beginner,JavaScript,Rust,0
20,S3,T1,0,1,0,0,intermediate,Python,Python,4
21,S3,T2,0,0,0,1,intermediate,Python,JavaScript,2
22,S3,T3,1,1,1,1,intermediate,Python,Python,10
23,S3,T4,0,0,0,1,intermediate,Python,Java,2
24,S3,T5,0,1,0,0,intermediate,Python,Python,4
25,S3,T6,0,0,0,0,intermediate,Python,C++,0
26,S3,T7,0,0,0,1,intermediate,Python,JavaScript,2
27,S3,T8,1,1,0,1,intermediate,Python,Python,9
28,S3,T9,0,0,0,0,intermediate,Python,JavaScript,0
29,S3,T10,0,0,0,0,intermediate,Python,Rust,0
30,S4,T1,1,0,0,1,beginner,Java,Python,5
31,S4,T2,0,0,0,1,beginner,Java,JavaScript,2
32,S4,T3,0,0,0,0,beginner,Java,Python,0
33,S4,T4,1,1,1,0,beginner,Java,Java,8
34,S4,T5,0,0,0,1,beginner,Java,Python,2
35,S4,T6,0,0,0,0,beginner,Java,C++,0
36,S4,T7,1,0,0,1,beginner,Java,JavaScript,5
37,S4,T8,0,0,0,0,beginner,Java,Python,0
38,S4,T9,0,0,0,1,beginner,Java,JavaScript,2
39,S4,T10,1,0,0,0,beginner,Java,Rust,3
40,S5,T1,0,1,0,0,advanced,Python,Python,4
41,S5,T2,0,0,0,0,advanced,Python,JavaScript,0
